종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
078520,에이블씨엔씨,KOSPI,,8270,30,0.36,8290,8410,8110,125012,1030948930,2.15137E+11,26014161
298380,에이비엘바이오,KOSDAQ,기술성장기업부,18200,1610,9.7,17090,18250,17010,832729,14784328790,8.71644E+11,47892539
203400,에이비온,KOSDAQ,기술성장기업부,6060,-180,-2.88,6290,6340,5960,29805,181043370,1.17614E+11,19408181
195990,에이비프로바이오,KOSDAQ,중견기업부,551,7,1.29,548,575,531,2525090,1401184692,1.56699E+11,284389721
003800,에이스침대,KOSDAQ,우량기업부,25400,150,0.59,25300,25500,25300,3955,100359500,2.81686E+11,11090000
088800,에이스테크,KOSDAQ,중견기업부,1862,80,4.49,1810,1885,1775,1469896,2705245292,1.30202E+11,69926073
241840,에이스토리,KOSDAQ,중견기업부,13350,50,0.38,13500,13590,13270,34634,462347660,1.27359E+11,9539994
311960,에이아이더뉴트리진,KONEX,일반기업부,10480,-870,-7.67,10500,11390,9650,1643,16937400,32096718720,3062664
312610,에이에프더블류,KOSDAQ,중견기업부,3135,105,3.47,3075,3210,3020,35426,111024970,63505343880,20256888
015260,에이엔피,KOSPI,,1287,35,2.8,1254,1293,1234,114744,144668064,57550322115,44716645
172670,에이엘티,KOSDAQ,벤처기업부,18610,-50,-0.27,18730,19200,18590,68434,1291717030,1.6675E+11,8960259
234070,에이원알폼,KONEX,일반기업부,1591,207,14.96,1591,1591,1591,1,1591,11039124862,6938482
072990,에이치시티,KOSDAQ,우량기업부,8680,-210,-2.36,8900,8940,8640,20274,177232620,62240469480,7170561
227100,에이치앤비디자인,KOSDAQ,중견기업부,1696,251,17.37,1499,1738,1499,473363,768540951,21516409152,12686562
044990,에이치엔에스하이텍,KONEX,일반기업부,16990,-30,-0.18,17200,17200,16800,32854,555617550,1.27613E+11,7511064
239610,에이치엘사이언스,KOSDAQ,우량기업부,13300,590,4.64,12810,13390,12810,6409,83909340,71715129500,5392115
462020,에이치엠씨제6호스팩,KOSDAQ,SPAC(소속부없음),1980,-8,-0.4,1988,1988,1972,84302,166777436,8603100000,4345000
148930,에이치와이티씨,KOSDAQ,중견기업부,6750,340,5.3,6510,6780,6510,71018,474474740,68176437750,10100213
044780,에이치케이,KOSDAQ,벤처기업부,1886,17,0.91,1875,1890,1875,57616,108546017,34901914282,18505787
357230,에이치피오,KOSDAQ,중견기업부,7870,180,2.34,7790,7880,7670,32602,253045210,1.64183E+11,20861919
071670,에이테크솔루션,KOSDAQ,우량기업부,10450,220,2.15,10300,10500,10250,47066,489695690,1.045E+11,10000000
045660,에이텍,KOSDAQ,우량기업부,12450,-180,-1.43,12510,12730,12170,135838,1686846380,1.02837E+11,8260000
224110,에이텍모빌리티,KOSDAQ,벤처기업부,13610,-160,-1.16,13770,13890,13540,40632,554708470,72677400000,5340000
021080,에이티넘인베스트,KOSDAQ,우량기업부,2665,55,2.11,2640,2680,2615,87087,231345845,1.2792E+11,48000000
089530,에이티세미콘,KOSDAQ,관리종목(소속부없음),600,0,0,0,0,0,0,0,43367041800,72278403
200470,에이팩트,KOSDAQ,우량기업부,3015,80,2.73,2975,3025,2920,127825,382632055,1.27722E+11,42362093
207490,에이펙스인텍,KONEX,일반기업부,7060,-1240,-14.94,7060,7060,7060,1,7060,25416000000,3600000
262260,에이프로,KOSDAQ,벤처기업부,14150,910,6.87,13790,14360,13580,344963,4841053130,2.04631E+11,14461554
007460,에이프로젠,KOSPI,,981,54,5.83,931,988,925,5205339,5029172372,2.549E+11,259837258
109960,에이프로젠 H&G,KOSDAQ,중견기업부,833,10,1.22,824,850,817,397535,330394692,55150446827,66207019
003060,에이프로젠바이오로직스,KOSPI,,346,9,2.67,337,348,335,1713037,587665910,2.30351E+11,665754689
397030,에이프릴바이오,KOSDAQ,기술성장기업부,11600,90,0.78,11560,11900,11450,115214,1335832770,1.2425E+11,10711195
244920,에이플러스에셋,KOSPI,,4080,0,0,4080,4090,4040,36316,147855975,92239387440,22607693
089970,에이피티씨,KOSDAQ,우량기업부,13850,690,5.24,13370,14190,12950,102661,1390267900,3.32131E+11,23980595
230240,에치에프알,KOSDAQ,우량기업부,20600,980,4.99,20150,20650,19780,159697,3221665990,2.77874E+11,13489026
230360,에코마케팅,KOSDAQ GLOBAL,우량기업부,10340,280,2.78,10340,10400,10080,107757,1104034280,3.34685E+11,32368029
015540,에코바이브,KOSPI,,70,7,11.11,55,72,55,11369739,746273264,4378980970,62556871
038870,에코바이오,KOSDAQ,중견기업부,5780,90,1.58,5690,5990,5640,356839,2081844100,78444483800,13571710
097780,에코볼트,KOSDAQ,중견기업부,1072,18,1.71,1054,1077,1052,32738,35035056,67246922336,62730338
